onset	duration	sample	trial_type	value
257.018	0.002	128510	Stimulus	S 30
258	0.002	129001	Scanner	Scan Start
258.024	0.002	129013	Response	CR
259.726	0.002	129864	Stimulus	S111
260	0.002	130001	Scanner	Scan Start
262	0.002	131001	Scanner	Scan Start
264	0.002	132001	Scanner	Scan Start
266	0.002	133001	Scanner	Scan Start
267.076	0.002	133539	Stimulus	S 20
267.976	0.002	133989	Response	CR
268	0.002	134001	Scanner	Scan Start
268.176	0.002	134089	Stimulus	S130
270	0.002	135001	Scanner	Scan Start
272	0.002	136001	Scanner	Scan Start
274	0.002	137001	Scanner	Scan Start
275.094	0.002	137548	Stimulus	S 10
276	0.002	138001	Scanner	Scan Start
276.974	0.002	138488	Response	MISS
277.174	0.002	138588	Stimulus	S160
278	0.002	139001	Scanner	Scan Start
280	0.002	140001	Scanner	Scan Start
282	0.002	141001	Scanner	Scan Start
284	0.002	142001	Scanner	Scan Start
285.094	0.002	142548	Stimulus	S 30
286	0.002	143001	Scanner	Scan Start
286.524	0.002	143263	Response	FA
286.726	0.002	143364	Stimulus	S180
288	0.002	144001	Scanner	Scan Start
290	0.002	145001	Scanner	Scan Start
292	0.002	146001	Scanner	Scan Start
293.094	0.002	146548	Stimulus	S 20
294	0.002	147001	Scanner	Scan Start
294.986	0.002	147494	Response	FA
295.188	0.002	147595	Stimulus	S170
296	0.002	148001	Scanner	Scan Start
298	0.002	149001	Scanner	Scan Start
300	0.002	150001	Scanner	Scan Start
302	0.002	151001	Scanner	Scan Start
303.038	0.002	151520	Stimulus	S 40
304	0.002	152001	Scanner	Scan Start
304.884	0.002	152443	Response	FA
305.086	0.002	152544	Stimulus	S180
306	0.002	153001	Scanner	Scan Start
308	0.002	154001	Scanner	Scan Start
310	0.002	155001	Scanner	Scan Start
311.094	0.002	155548	Stimulus	S 10
312	0.002	156001	Scanner	Scan Start
313.104	0.002	156553	Response	MISS
313.304	0.002	156653	Stimulus	S150
314	0.002	157001	Scanner	Scan Start
316	0.002	158001	Scanner	Scan Start
318	0.002	159001	Scanner	Scan Start
320	0.002	160001	Scanner	Scan Start
321.056	0.002	160529	Stimulus	S 40
322	0.002	161001	Scanner	Scan Start
322.294	0.002	161148	Response	CR
322.496	0.002	161249	Stimulus	S110
324	0.002	162001	Scanner	Scan Start
326	0.002	163001	Scanner	Scan Start
328	0.002	164001	Scanner	Scan Start
330	0.002	165001	Scanner	Scan Start
331.02	0.002	165511	Stimulus	S 20
332	0.002	166001	Scanner	Scan Start
332.606	0.002	166304	Response	FA
332.808	0.002	166405	Stimulus	S160
334	0.002	167001	Scanner	Scan Start
336	0.002	168001	Scanner	Scan Start
338	0.002	169001	Scanner	Scan Start
340	0.002	170001	Scanner	Scan Start
341.058	0.002	170530	Stimulus	S 30
342	0.002	171001	Scanner	Scan Start
342.198	0.002	171100	Response	CR
343.9	0.002	171951	Stimulus	S131
344	0.002	172001	Scanner	Scan Start
346	0.002	173001	Scanner	Scan Start
348	0.002	174001	Scanner	Scan Start
350	0.002	175001	Scanner	Scan Start
351.02	0.002	175511	Stimulus	S 20
352	0.002	176001	Scanner	Scan Start
352.152	0.002	176077	Response	FA
352.354	0.002	176178	Stimulus	S170
354	0.002	177001	Scanner	Scan Start
356	0.002	178001	Scanner	Scan Start
358	0.002	179001	Scanner	Scan Start
359.058	0.002	179530	Stimulus	S 10
360	0.002	180001	Scanner	Scan Start
360.34	0.002	180171	Response	Hit
360.54	0.002	180271	Stimulus	S120
362	0.002	181001	Scanner	Scan Start
364	0.002	182001	Scanner	Scan Start
366	0.002	183001	Scanner	Scan Start
367.02	0.002	183511	Stimulus	S 40
368	0.002	184001	Scanner	Scan Start
368.09	0.002	184046	Response	CR
368.29	0.002	184146	Stimulus	S130
370	0.002	185001	Scanner	Scan Start
372	0.002	186001	Scanner	Scan Start
374	0.002	187001	Scanner	Scan Start
376	0.002	188001	Scanner	Scan Start
377.076	0.002	188539	Stimulus	S 20
378	0.002	189001	Scanner	Scan Start
378.382	0.002	189192	Response	CR
378.584	0.002	189293	Stimulus	S140
380	0.002	190001	Scanner	Scan Start
382	0.002	191001	Scanner	Scan Start
384	0.002	192001	Scanner	Scan Start
385.058	0.002	192530	Stimulus	S 40
385.976	0.002	192989	Response	CR
386	0.002	193001	Scanner	Scan Start
386.176	0.002	193089	Stimulus	S110
388	0.002	194001	Scanner	Scan Start
390	0.002	195001	Scanner	Scan Start
392	0.002	196001	Scanner	Scan Start
393.038	0.002	196520	Stimulus	S 30
394	0.002	197001	Scanner	Scan Start
394.528	0.002	197265	Response	CR
394.73	0.002	197366	Stimulus	S120
396	0.002	198001	Scanner	Scan Start
398	0.002	199001	Scanner	Scan Start
400	0.002	200001	Scanner	Scan Start
402	0.002	201001	Scanner	Scan Start
403.02	0.002	201511	Stimulus	S 10
404	0.002	202001	Scanner	Scan Start
404.154	0.002	202078	Response	MISS
404.356	0.002	202179	Stimulus	S180
406	0.002	203001	Scanner	Scan Start
408	0.002	204001	Scanner	Scan Start
410	0.002	205001	Scanner	Scan Start
411.02	0.002	205511	Stimulus	S 20
412	0.002	206001	Scanner	Scan Start
412.014	0.002	206008	Response	CR
412.216	0.002	206109	Stimulus	S140
414	0.002	207001	Scanner	Scan Start
416	0.002	208001	Scanner	Scan Start
418	0.002	209001	Scanner	Scan Start
419.096	0.002	209549	Stimulus	S 20
420	0.002	210001	Scanner	Scan Start
420.146	0.002	210074	Response	CR
420.346	0.002	210174	Stimulus	S130
422	0.002	211001	Scanner	Scan Start
424	0.002	212001	Scanner	Scan Start
426	0.002	213001	Scanner	Scan Start
428	0.002	214001	Scanner	Scan Start
429.038	0.002	214520	Stimulus	S 10
430	0.002	215001	Scanner	Scan Start
430.004	0.002	215003	Response	MISS
430.204	0.002	215103	Stimulus	S160
432	0.002	216001	Scanner	Scan Start
434	0.002	217001	Scanner	Scan Start
436	0.002	218001	Scanner	Scan Start
437.058	0.002	218530	Stimulus	S 40
437.976	0.002	218989	Response	CR
438	0.002	219001	Scanner	Scan Start
438.178	0.002	219090	Stimulus	S110
440	0.002	220001	Scanner	Scan Start
442	0.002	221001	Scanner	Scan Start
444	0.002	222001	Scanner	Scan Start
445.076	0.002	222539	Stimulus	S 20
446	0.002	223001	Scanner	Scan Start
446.98	0.002	223491	Response	FA
448	0.002	224001	Scanner	Scan Start
448.68	0.002	224341	Stimulus	S151
450	0.002	225001	Scanner	Scan Start
452	0.002	226001	Scanner	Scan Start
454	0.002	227001	Scanner	Scan Start
455.056	0.002	227529	Stimulus	S 10
456	0.002	228001	Scanner	Scan Start
456.562	0.002	228282	Response	MISS
456.762	0.002	228382	Stimulus	S170
458	0.002	229001	Scanner	Scan Start
460	0.002	230001	Scanner	Scan Start
462	0.002	231001	Scanner	Scan Start
464	0.002	232001	Scanner	Scan Start
465.018	0.002	232510	Stimulus	S 20
466	0.002	233001	Scanner	Scan Start
467.05	0.002	233526	Stimulus	S190
468	0.002	234001	Scanner	Scan Start
470	0.002	235001	Scanner	Scan Start
472	0.002	236001	Scanner	Scan Start
474	0.002	237001	Scanner	Scan Start
