onset	duration	sample	trial_type	value
910	0.002	455001	Scanner	Scan Start
910.394	0.002	455198	Stimulus	S141
912	0.002	456001	Scanner	Scan Start
914	0.002	457001	Scanner	Scan Start
916	0.002	458001	Scanner	Scan Start
917.076	0.002	458539	Stimulus	S 40
917.976	0.002	458989	Response	CR
918	0.002	459001	Scanner	Scan Start
918.178	0.002	459090	Stimulus	S130
920	0.002	460001	Scanner	Scan Start
922	0.002	461001	Scanner	Scan Start
924	0.002	462001	Scanner	Scan Start
926	0.002	463001	Scanner	Scan Start
927.018	0.002	463510	Stimulus	S 40
927.808	0.002	463905	Response	CR
928	0.002	464001	Scanner	Scan Start
928.01	0.002	464006	Stimulus	S120
930	0.002	465001	Scanner	Scan Start
932	0.002	466001	Scanner	Scan Start
934	0.002	467001	Scanner	Scan Start
935.038	0.002	467520	Stimulus	S 30
935.736	0.002	467869	Response	CR
935.938	0.002	467970	Stimulus	S140
936	0.002	468001	Scanner	Scan Start
938	0.002	469001	Scanner	Scan Start
940	0.002	470001	Scanner	Scan Start
942	0.002	471001	Scanner	Scan Start
944	0.002	472001	Scanner	Scan Start
945.094	0.002	472548	Stimulus	S 10
946	0.002	473001	Scanner	Scan Start
946.212	0.002	473107	Response	Hit
