filename	acq_time	operator	randstr
anat/sub-34_T1w.nii.gz	1970-01-01T00:00:00.000000	CNI-HBI	91c2cc05
func/sub-34_task-rest_bold.nii.gz	1970-01-01T00:00:00.000000	CNI-HBI	8352144e
