name	type	units	sampling_frequency
Fp1	EEG	μV	500
Fp2	EEG	μV	500
F3	EEG	μV	500
F4	EEG	μV	500
C3	EEG	μV	500
C4	EEG	μV	500
P3	EEG	μV	500
P4	EEG	μV	500
O1	EEG	μV	500
O2	EEG	μV	500
F7	EEG	μV	500
F8	EEG	μV	500
T7	EEG	μV	500
T8	EEG	μV	500
P7	EEG	μV	500
P8	EEG	μV	500
Fz	EEG	μV	500
Cz	EEG	μV	500
Pz	EEG	μV	500
Oz	EEG	μV	500
FC1	EEG	μV	500
FC2	EEG	μV	500
CP1	EEG	μV	500
CP2	EEG	μV	500
FC5	EEG	μV	500
FC6	EEG	μV	500
CP5	EEG	μV	500
CP6	EEG	μV	500
TP9	EEG	μV	500
TP10	EEG	μV	500
POz	EEG	μV	500
ECG	EEG	μV	500
F1	EEG	μV	500
F2	EEG	μV	500
C1	EEG	μV	500
C2	EEG	μV	500
P1	EEG	μV	500
P2	EEG	μV	500
AF3	EEG	μV	500
AF4	EEG	μV	500
FC3	EEG	μV	500
FC4	EEG	μV	500
CP3	EEG	μV	500
CP4	EEG	μV	500
PO3	EEG	μV	500
PO4	EEG	μV	500
F5	EEG	μV	500
F6	EEG	μV	500
C5	EEG	μV	500
C6	EEG	μV	500
P5	EEG	μV	500
P6	EEG	μV	500
AF7	EEG	μV	500
AF8	EEG	μV	500
FT7	EEG	μV	500
FT8	EEG	μV	500
TP7	EEG	μV	500
TP8	EEG	μV	500
PO7	EEG	μV	500
PO8	EEG	μV	500
FT9	EEG	μV	500
FT10	EEG	μV	500
Fpz	EEG	μV	500
CPz	EEG	μV	500
EMG1	EEG	μV	500
EMG2	EEG	μV	500
EOG	EEG	μV	500
CWL4	EEG	μV	500
CWL3	EEG	μV	500
CWL2	EEG	μV	500
CWL1	EEG	μV	500
GSR_MR_100	EEG	μS	500
