onset	duration	sample	trial_type	value
0	0.002	1	New Segment	n/a
0.054	0.002	28	Scanner	Scan Start
2.054	0.002	1028	Scanner	Scan Start
4.054	0.002	2028	Scanner	Scan Start
6.054	0.002	3028	Scanner	Scan Start
8.054	0.002	4028	Scanner	Scan Start
10.054	0.002	5028	Scanner	Scan Start
12.054	0.002	6028	Scanner	Scan Start
14.054	0.002	7028	Scanner	Scan Start
16.054	0.002	8028	Scanner	Scan Start
18.054	0.002	9028	Scanner	Scan Start
20.054	0.002	10028	Scanner	Scan Start
22.054	0.002	11028	Scanner	Scan Start
24.054	0.002	12028	Scanner	Scan Start
26.054	0.002	13028	Scanner	Scan Start
28.054	0.002	14028	Scanner	Scan Start
30.054	0.002	15028	Scanner	Scan Start
32.054	0.002	16028	Scanner	Scan Start
34.054	0.002	17028	Scanner	Scan Start
36.054	0.002	18028	Scanner	Scan Start
38.054	0.002	19028	Scanner	Scan Start
40.054	0.002	20028	Scanner	Scan Start
42.054	0.002	21028	Scanner	Scan Start
44.054	0.002	22028	Scanner	Scan Start
46.054	0.002	23028	Scanner	Scan Start
48.054	0.002	24028	Scanner	Scan Start
50.054	0.002	25028	Scanner	Scan Start
52.054	0.002	26028	Scanner	Scan Start
54.054	0.002	27028	Scanner	Scan Start
56.054	0.002	28028	Scanner	Scan Start
58.054	0.002	29028	Scanner	Scan Start
60.054	0.002	30028	Scanner	Scan Start
62.054	0.002	31028	Scanner	Scan Start
64.054	0.002	32028	Scanner	Scan Start
66.054	0.002	33028	Scanner	Scan Start
68.054	0.002	34028	Scanner	Scan Start
70.054	0.002	35028	Scanner	Scan Start
72.054	0.002	36028	Scanner	Scan Start
74.054	0.002	37028	Scanner	Scan Start
76.054	0.002	38028	Scanner	Scan Start
78.054	0.002	39028	Scanner	Scan Start
80.054	0.002	40028	Scanner	Scan Start
82.054	0.002	41028	Scanner	Scan Start
84.054	0.002	42028	Scanner	Scan Start
86.052	0.002	43027	Scanner	Scan Start
88.052	0.002	44027	Scanner	Scan Start
90.052	0.002	45027	Scanner	Scan Start
92.052	0.002	46027	Scanner	Scan Start
94.052	0.002	47027	Scanner	Scan Start
96.052	0.002	48027	Scanner	Scan Start
98.052	0.002	49027	Scanner	Scan Start
100.052	0.002	50027	Scanner	Scan Start
102.052	0.002	51027	Scanner	Scan Start
104.052	0.002	52027	Scanner	Scan Start
106.052	0.002	53027	Scanner	Scan Start
108.052	0.002	54027	Scanner	Scan Start
110.052	0.002	55027	Scanner	Scan Start
112.052	0.002	56027	Scanner	Scan Start
114.052	0.002	57027	Scanner	Scan Start
116.052	0.002	58027	Scanner	Scan Start
118.052	0.002	59027	Scanner	Scan Start
120.052	0.002	60027	Scanner	Scan Start
122.052	0.002	61027	Scanner	Scan Start
124.052	0.002	62027	Scanner	Scan Start
126.052	0.002	63027	Scanner	Scan Start
128.052	0.002	64027	Scanner	Scan Start
130.052	0.002	65027	Scanner	Scan Start
132.052	0.002	66027	Scanner	Scan Start
134.052	0.002	67027	Scanner	Scan Start
136.052	0.002	68027	Scanner	Scan Start
138.052	0.002	69027	Scanner	Scan Start
140.052	0.002	70027	Scanner	Scan Start
142.052	0.002	71027	Scanner	Scan Start
144.052	0.002	72027	Scanner	Scan Start
146.052	0.002	73027	Scanner	Scan Start
148.052	0.002	74027	Scanner	Scan Start
150.052	0.002	75027	Scanner	Scan Start
152.052	0.002	76027	Scanner	Scan Start
154.052	0.002	77027	Scanner	Scan Start
156.052	0.002	78027	Scanner	Scan Start
158.052	0.002	79027	Scanner	Scan Start
160.052	0.002	80027	Scanner	Scan Start
162.052	0.002	81027	Scanner	Scan Start
164.052	0.002	82027	Scanner	Scan Start
166.052	0.002	83027	Scanner	Scan Start
168.052	0.002	84027	Scanner	Scan Start
170.052	0.002	85027	Scanner	Scan Start
172.052	0.002	86027	Scanner	Scan Start
174.052	0.002	87027	Scanner	Scan Start
176.052	0.002	88027	Scanner	Scan Start
178.052	0.002	89027	Scanner	Scan Start
180.052	0.002	90027	Scanner	Scan Start
182.052	0.002	91027	Scanner	Scan Start
184.052	0.002	92027	Scanner	Scan Start
186.052	0.002	93027	Scanner	Scan Start
188.052	0.002	94027	Scanner	Scan Start
190.052	0.002	95027	Scanner	Scan Start
192.052	0.002	96027	Scanner	Scan Start
194.052	0.002	97027	Scanner	Scan Start
196.052	0.002	98027	Scanner	Scan Start
198.052	0.002	99027	Scanner	Scan Start
200.052	0.002	100027	Scanner	Scan Start
202.052	0.002	101027	Scanner	Scan Start
204.052	0.002	102027	Scanner	Scan Start
206.052	0.002	103027	Scanner	Scan Start
208.052	0.002	104027	Scanner	Scan Start
210.052	0.002	105027	Scanner	Scan Start
212.052	0.002	106027	Scanner	Scan Start
214.052	0.002	107027	Scanner	Scan Start
216.05	0.002	108026	Scanner	Scan Start
218.05	0.002	109026	Scanner	Scan Start
220.05	0.002	110026	Scanner	Scan Start
222.05	0.002	111026	Scanner	Scan Start
224.05	0.002	112026	Scanner	Scan Start
226.05	0.002	113026	Scanner	Scan Start
228.05	0.002	114026	Scanner	Scan Start
230.05	0.002	115026	Scanner	Scan Start
232.05	0.002	116026	Scanner	Scan Start
234.05	0.002	117026	Scanner	Scan Start
236.05	0.002	118026	Scanner	Scan Start
238.05	0.002	119026	Scanner	Scan Start
